Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Percentage in Communication skills,Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,certifications,workshops,talenttests taken?,olympiads,reading and writing skills,memory capability score,Interested subjects,interested career area ,Job/Higher Studies?,Type of company want to settle in?,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Salary Range Expected,In a Realtionship?,Gentle or Tuff behaviour?,Management or Technical,Salary/work,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
70,60,80,69,65,84,88,87,69,5,3,4,8,2,yes,no,no,shell programming,cloud computing,yes,yes,medium,medium,Software Engineering,Business process analyst,job,SAaS services,yes,no,Romance,salary,no,stubborn,Management,work,hard worker,yes,no,Mobile Applications Developer
91,67,92,74,93,88,80,71,69,7,1,2,9,9,yes,no,yes,app development,database security,no,no,medium,medium,networks,security,job,product development,no,no,Childrens,salary,yes,stubborn,Technical,work,hard worker,yes,yes,Network Security Administrator
65,78,66,81,84,72,90,70,84,11,6,0,6,8,no,yes,yes,app development,hacking,no,no,excellent,excellent,IOT,security,job,SAaS services,no,no,Health,salary,no,stubborn,Technical,work,hard worker,yes,yes,Software Engineer
60,74,89,82,61,76,69,60,67,6,4,3,1,9,no,yes,no,python,testing,no,no,poor,poor,cloud computing,testing,higherstudies,Sales and Marketing,no,no,Health,salary,no,gentle,Management,work,smart worker,no,yes,Portal Administrator
61,60,90,93,77,82,68,91,83,9,4,5,2,8,yes,no,yes,full stack,hacking,no,yes,poor,excellent,cloud computing,security,job,Cloud Services,no,no,Mystery,Work,no,stubborn,Management,salary,smart worker,no,yes,Programmer Analyst
87,71,81,94,79,77,75,76,69,5,1,6,9,6,no,no,yes,hadoop,database security,no,yes,excellent,poor,Computer Architecture,system developer,job,product development,yes,yes,Science fiction,Work,no,stubborn,Technical,salary,hard worker,yes,yes,Software Engineer
90,64,60,88,60,62,88,74,67,6,8,1,8,1,no,no,no,distro making,testing,yes,no,excellent,poor,Management,cloud computing,job,Cloud Services,no,yes,Guide,salary,yes,stubborn,Technical,work,smart worker,no,yes,Information Technology Auditor
61,68,67,69,91,69,66,65,71,10,9,4,9,6,no,no,no,python,cloud computing,yes,no,poor,medium,cloud computing,developer,job,SAaS services,no,no,Journals,Work,yes,gentle,Management,work,smart worker,no,yes,Information Technology Auditor
76,60,90,64,71,69,63,70,69,7,2,5,1,1,no,no,yes,information security,web technologies,no,no,medium,medium,Computer Architecture,cloud computing,higherstudies,product development,no,no,Drama,salary,yes,stubborn,Management,work,smart worker,yes,yes,Information Security Analyst
92,74,60,65,92,92,94,63,77,7,1,0,4,3,no,yes,no,python,hacking,yes,yes,excellent,medium,parallel computing,security,higherstudies,BPA,no,no,Childrens,salary,yes,stubborn,Technical,salary,hard worker,no,yes,CRM Technical Developer
77,71,74,61,76,67,88,86,84,4,5,3,7,6,yes,yes,yes,python,game development,no,yes,medium,poor,parallel computing,testing,higherstudies,Testing and Maintainance Services,yes,no,Anthology,Work,no,stubborn,Management,salary,hard worker,yes,yes,Database Developer
72,71,92,81,77,93,88,70,84,11,7,1,2,3,yes,yes,yes,machine learning,game development,no,no,poor,excellent,IOT,Business process analyst,higherstudies,Sales and Marketing,yes,no,Poetry,Work,no,gentle,Technical,salary,smart worker,yes,no,Database Developer
64,65,88,83,87,64,67,86,79,4,3,0,8,2,no,no,no,distro making,database security,no,no,poor,poor,Computer Architecture,system developer,higherstudies,product development,yes,no,Dictionaries,salary,yes,gentle,Technical,work,smart worker,no,no,Software Engineer
69,73,89,94,74,70,73,76,74,9,4,0,2,2,yes,yes,yes,distro making,web technologies,no,no,poor,poor,cloud computing,testing,job,Finance,yes,no,Encyclopedias,Work,yes,gentle,Technical,salary,hard worker,yes,no,UX Designer
64,93,85,70,80,89,67,86,94,7,7,2,6,1,yes,no,no,distro making,system designing,no,yes,excellent,poor,cloud computing,security,job,product development,no,yes,Religion-Spirituality,salary,yes,stubborn,Technical,salary,hard worker,no,no,Technical Engineer
73,65,79,70,66,73,71,73,66,12,8,2,9,3,yes,yes,yes,distro making,web technologies,no,yes,excellent,medium,data engineering,developer,higherstudies,Product based,yes,no,Drama,Work,yes,gentle,Technical,work,smart worker,no,yes,CRM Business Analyst
74,91,88,82,82,77,66,78,73,4,3,5,9,2,no,yes,yes,shell programming,database security,no,yes,excellent,medium,parallel computing,developer,job,Testing and Maintainance Services,yes,no,Religion-Spirituality,Work,no,stubborn,Management,work,hard worker,yes,no,Database Developer
60,92,79,85,69,72,66,62,64,7,4,5,9,8,no,no,no,app development,game development,no,yes,medium,medium,Software Engineering,testing,higherstudies,SAaS services,yes,yes,Guide,Work,yes,stubborn,Technical,salary,smart worker,no,yes,CRM Technical Developer
90,61,91,76,75,85,90,81,87,6,7,3,8,8,no,yes,no,machine learning,hacking,no,no,poor,excellent,networks,developer,higherstudies,Service Based,no,yes,Action and Adventure,Work,yes,stubborn,Management,work,hard worker,no,yes,Network Engineer
63,87,62,83,76,94,89,61,79,12,4,1,7,4,yes,yes,no,hadoop,system designing,yes,yes,poor,excellent,Management,system developer,higherstudies,Finance,yes,yes,Autobiographies,Work,no,gentle,Technical,salary,smart worker,no,yes,Solutions Architect
63,91,72,72,92,85,62,81,69,5,7,6,7,8,yes,no,yes,information security,web technologies,yes,yes,poor,excellent,programming,Business process analyst,higherstudies,Product based,yes,no,Diaries,Work,no,stubborn,Management,work,hard worker,yes,no,Network Security Engineer
67,91,71,78,75,81,65,87,68,10,5,5,3,7,no,yes,no,machine learning,web technologies,yes,no,medium,poor,IOT,developer,job,Testing and Maintainance Services,no,yes,Biographies,salary,no,stubborn,Management,work,smart worker,no,no,UX Designer
69,72,83,85,62,90,62,67,75,9,9,1,8,8,no,yes,yes,r programming,system designing,yes,no,poor,excellent,Software Engineering,testing,higherstudies,product development,yes,no,Comics,Work,yes,stubborn,Management,salary,smart worker,no,yes,Project Manager
94,66,77,61,69,71,61,61,73,8,6,6,6,3,no,yes,yes,python,data science,yes,no,excellent,medium,data engineering,security,higherstudies,Sales and Marketing,yes,no,Diaries,salary,yes,stubborn,Technical,work,smart worker,yes,no,Technical Services/Help Desk/Tech Support
88,90,92,89,73,84,67,85,76,6,8,2,5,9,no,no,yes,app development,game development,yes,no,medium,poor,cloud computing,security,job,Finance,no,yes,Mystery,Work,yes,stubborn,Management,salary,hard worker,no,yes,Network Security Administrator
71,74,82,85,83,62,62,77,64,9,8,2,8,3,no,yes,yes,information security,system designing,yes,no,medium,poor,Software Engineering,testing,job,Testing and Maintainance Services,yes,yes,Math,Work,no,stubborn,Management,salary,smart worker,no,yes,Information Technology Auditor
80,79,78,80,66,94,73,83,62,9,1,2,1,3,yes,no,no,app development,web technologies,yes,no,excellent,medium,programming,Business process analyst,higherstudies,Cloud Services,yes,yes,Dictionaries,salary,yes,gentle,Technical,salary,smart worker,no,no,Software Quality Assurance (QA) / Testing
62,92,82,70,79,60,88,88,74,8,3,2,1,6,yes,no,yes,app development,database security,yes,yes,medium,medium,hacking,testing,job,Finance,no,no,Trilogy,Work,yes,stubborn,Management,work,hard worker,yes,no,Database Administrator
86,67,76,75,81,61,86,67,67,12,9,1,9,1,yes,yes,yes,machine learning,system designing,yes,yes,medium,excellent,cloud computing,testing,job,Cloud Services,no,no,Anthology,salary,no,gentle,Technical,work,smart worker,no,yes,Applications Developer
72,65,71,81,76,76,71,75,76,8,1,4,2,7,no,yes,no,full stack,testing,yes,no,excellent,excellent,parallel computing,security,job,Service Based,no,yes,Comics,Work,no,stubborn,Management,work,smart worker,no,no,Database Manager
67,84,73,69,94,67,92,82,79,5,6,2,3,4,no,yes,yes,python,cloud computing,no,no,medium,poor,hacking,Business process analyst,higherstudies,BPA,no,yes,Diaries,Work,no,gentle,Management,work,hard worker,yes,yes,Portal Administrator
61,64,72,67,85,94,92,94,79,12,7,5,6,3,no,no,no,information security,system designing,no,yes,poor,excellent,Software Engineering,system developer,higherstudies,Sales and Marketing,no,no,Math,salary,yes,stubborn,Technical,salary,smart worker,yes,yes,Project Manager
71,71,83,77,73,61,86,80,73,6,6,1,9,4,no,yes,yes,machine learning,cloud computing,no,no,excellent,excellent,Computer Architecture,Business process analyst,job,Product based,yes,no,Childrens,salary,yes,stubborn,Management,salary,smart worker,yes,yes,Systems Security Administrator
83,88,74,63,79,73,73,63,86,6,2,6,3,8,yes,no,yes,shell programming,game development,no,no,poor,medium,networks,testing,job,Testing and Maintainance Services,yes,yes,Satire,Work,no,gentle,Management,salary,hard worker,yes,no,Data Architect
81,89,65,94,85,74,84,67,68,4,6,0,3,7,yes,no,no,hadoop,cloud computing,yes,yes,medium,excellent,hacking,security,job,SAaS services,yes,no,Comics,Work,yes,gentle,Technical,work,hard worker,yes,no,Information Technology Manager
83,65,84,80,82,91,69,75,89,4,2,0,2,7,no,no,no,information security,data science,no,yes,excellent,poor,parallel computing,testing,job,BPA,no,no,Trilogy,Work,no,stubborn,Management,work,smart worker,yes,no,Systems Security Administrator
64,86,65,67,69,74,66,89,89,5,8,0,2,2,no,yes,yes,r programming,database security,no,no,medium,excellent,Software Engineering,testing,job,Product based,no,yes,Guide,Work,no,gentle,Management,salary,hard worker,no,yes,Systems Security Administrator
66,72,72,70,61,86,78,77,72,6,3,3,3,9,no,no,yes,machine learning,game development,no,no,medium,poor,Software Engineering,system developer,higherstudies,SAaS services,yes,no,Science,Work,yes,stubborn,Technical,work,hard worker,no,yes,Network Security Administrator
83,81,61,81,79,63,61,88,83,8,1,6,6,4,yes,yes,no,full stack,web technologies,yes,no,poor,poor,parallel computing,developer,higherstudies,Cloud Services,no,no,Biographies,salary,no,gentle,Technical,work,hard worker,yes,no,Database Administrator
71,89,91,88,84,78,89,77,62,7,8,5,9,4,yes,no,yes,hadoop,data science,yes,yes,medium,excellent,cloud computing,cloud computing,higherstudies,BPA,no,yes,Anthology,Work,no,gentle,Management,work,hard worker,yes,no,Network Engineer
93,81,63,85,66,82,67,89,72,9,4,5,6,1,no,yes,no,python,data science,yes,no,medium,poor,programming,developer,job,Service Based,yes,no,Horror,Work,no,stubborn,Technical,work,smart worker,yes,no,Systems Analyst
75,66,85,74,74,93,72,92,93,5,4,5,5,1,no,yes,yes,machine learning,database security,yes,no,excellent,poor,Management,Business process analyst,higherstudies,Testing and Maintainance Services,yes,no,Romance,salary,yes,stubborn,Technical,salary,smart worker,no,no,CRM Business Analyst
69,92,80,85,86,73,88,73,68,9,8,1,2,6,no,yes,no,distro making,system designing,no,no,excellent,poor,Software Engineering,security,higherstudies,Web Services,yes,no,Comics,salary,no,gentle,Technical,salary,smart worker,yes,no,Network Security Administrator
71,75,79,83,75,74,61,84,69,4,6,6,8,6,no,yes,no,python,web technologies,yes,yes,excellent,medium,networks,security,higherstudies,BPA,no,no,Journals,salary,no,stubborn,Technical,work,smart worker,no,yes,CRM Technical Developer
62,75,67,63,89,80,65,92,88,9,5,3,9,6,no,no,yes,distro making,cloud computing,yes,no,medium,excellent,networks,security,job,Web Services,no,no,Cookbooks,Work,yes,stubborn,Technical,work,hard worker,no,yes,Systems Security Administrator
73,74,92,71,67,85,93,60,91,11,2,2,4,9,yes,no,yes,information security,testing,no,yes,excellent,poor,data engineering,system developer,higherstudies,product development,yes,no,Horror,salary,yes,gentle,Management,work,hard worker,no,yes,Software Quality Assurance (QA) / Testing
73,68,82,88,61,91,71,76,70,8,3,3,2,6,yes,no,yes,python,database security,yes,no,poor,poor,hacking,cloud computing,job,Service Based,yes,yes,Encyclopedias,Work,no,stubborn,Management,salary,hard worker,no,yes,Business Systems Analyst
85,67,68,60,80,68,87,94,60,9,7,3,4,2,yes,yes,no,shell programming,cloud computing,no,yes,medium,excellent,networks,system developer,higherstudies,product development,yes,yes,Self help,salary,no,gentle,Management,work,hard worker,yes,yes,Information Technology Manager
81,82,83,86,70,72,93,93,83,6,9,4,3,4,yes,yes,yes,hadoop,data science,yes,yes,poor,excellent,networks,testing,job,Sales and Marketing,yes,yes,Prayer books,salary,yes,stubborn,Technical,salary,hard worker,no,yes,Information Technology Manager
88,74,83,80,71,85,89,83,82,7,8,4,4,3,yes,yes,yes,shell programming,web technologies,no,no,medium,medium,parallel computing,testing,job,Cloud Services,no,no,Guide,salary,yes,stubborn,Management,salary,smart worker,no,no,UX Designer
82,66,89,70,72,70,91,61,76,12,7,1,5,8,no,yes,yes,r programming,system designing,no,yes,excellent,medium,Computer Architecture,system developer,job,Service Based,yes,yes,Drama,salary,no,gentle,Management,salary,smart worker,yes,yes,CRM Business Analyst
81,80,70,90,88,75,91,93,73,12,5,2,9,3,yes,no,yes,r programming,database security,no,yes,poor,medium,Software Engineering,cloud computing,job,Product based,no,yes,Art,salary,yes,gentle,Technical,work,smart worker,yes,no,CRM Technical Developer
64,61,63,84,63,82,66,68,63,11,8,1,1,2,yes,no,yes,r programming,database security,no,no,excellent,poor,hacking,Business process analyst,job,Service Based,no,no,Anthology,Work,yes,stubborn,Technical,work,hard worker,no,yes,Information Technology Auditor
67,90,66,63,87,90,91,88,75,8,9,6,7,5,yes,no,no,distro making,cloud computing,yes,yes,excellent,poor,cloud computing,testing,higherstudies,product development,yes,yes,Diaries,Work,no,gentle,Technical,salary,smart worker,yes,yes,Database Developer
86,86,62,62,60,79,90,69,85,12,7,2,8,4,no,no,yes,machine learning,game development,no,no,poor,medium,Management,security,job,BPA,yes,yes,Poetry,salary,yes,stubborn,Management,work,smart worker,yes,yes,E-Commerce Analyst
68,86,73,88,94,80,63,61,61,7,7,4,4,5,no,yes,yes,machine learning,system designing,yes,no,poor,excellent,hacking,testing,higherstudies,product development,yes,yes,Mystery,salary,no,stubborn,Management,salary,smart worker,yes,no,Systems Security Administrator
63,78,92,84,89,66,75,73,69,7,1,0,2,2,yes,yes,yes,full stack,system designing,no,no,excellent,poor,data engineering,security,higherstudies,Sales and Marketing,no,yes,Drama,Work,no,gentle,Management,salary,smart worker,no,yes,Information Security Analyst
66,67,77,90,70,85,92,79,65,10,8,4,1,2,yes,no,yes,r programming,cloud computing,yes,yes,excellent,medium,data engineering,system developer,higherstudies,SAaS services,no,yes,Horror,Work,no,stubborn,Management,work,smart worker,no,yes,Database Developer
62,78,75,82,69,71,74,75,62,9,3,4,4,5,yes,no,no,shell programming,testing,yes,no,medium,poor,hacking,system developer,job,Finance,no,no,Poetry,Work,no,gentle,Management,work,smart worker,yes,yes,Information Security Analyst
64,84,90,86,83,94,83,76,89,9,4,4,2,1,no,yes,yes,app development,data science,no,no,excellent,poor,cloud computing,system developer,job,Finance,yes,no,Satire,Work,yes,gentle,Technical,salary,hard worker,no,no,Network Security Administrator
71,80,84,92,66,92,73,67,64,9,8,5,1,2,no,no,yes,r programming,data science,no,no,poor,medium,networks,Business process analyst,higherstudies,Product based,yes,yes,Comics,Work,no,stubborn,Management,salary,hard worker,no,no,Technical Support
60,61,79,90,66,74,91,68,69,11,7,3,7,4,yes,no,yes,full stack,system designing,no,yes,medium,poor,data engineering,testing,job,Testing and Maintainance Services,yes,no,Religion-Spirituality,Work,no,gentle,Management,work,hard worker,no,yes,Data Architect
83,61,93,81,76,79,86,76,78,5,9,3,5,3,yes,no,yes,machine learning,web technologies,yes,no,poor,excellent,hacking,testing,higherstudies,product development,yes,no,Romance,salary,yes,stubborn,Management,work,smart worker,no,yes,CRM Business Analyst
73,88,69,71,81,71,88,66,62,4,7,1,3,7,no,no,no,information security,web technologies,no,yes,medium,medium,cloud computing,system developer,higherstudies,BPA,yes,yes,Mystery,salary,no,gentle,Management,salary,smart worker,no,yes,Programmer Analyst
90,75,88,84,75,80,86,76,90,7,3,4,6,3,yes,yes,yes,r programming,database security,yes,yes,excellent,excellent,networks,security,job,Service Based,no,no,Religion-Spirituality,Work,no,stubborn,Management,salary,hard worker,no,no,Information Technology Manager
72,67,85,81,79,92,78,65,77,5,1,4,4,8,no,yes,no,full stack,web technologies,yes,no,poor,medium,Software Engineering,system developer,higherstudies,Sales and Marketing,yes,no,Horror,Work,no,stubborn,Technical,work,hard worker,no,no,Systems Analyst
65,68,80,65,85,93,87,65,71,9,9,6,4,2,no,no,yes,machine learning,web technologies,no,yes,poor,excellent,hacking,Business process analyst,job,BPA,yes,yes,Self help,Work,yes,stubborn,Technical,salary,hard worker,yes,no,Technical Support
65,88,61,72,74,84,81,63,89,5,9,6,8,4,yes,yes,yes,information security,hacking,no,yes,poor,excellent,cloud computing,security,job,Cloud Services,no,no,Horror,Work,yes,stubborn,Management,work,hard worker,yes,no,Systems Security Administrator
90,60,87,65,75,90,67,60,71,9,6,2,7,7,no,no,yes,app development,hacking,yes,yes,medium,excellent,Computer Architecture,cloud computing,job,Web Services,yes,yes,Journals,Work,no,stubborn,Technical,salary,smart worker,no,yes,Web Developer
67,81,80,76,82,85,77,65,81,12,9,0,1,6,no,no,no,full stack,cloud computing,no,yes,poor,medium,networks,Business process analyst,higherstudies,BPA,no,no,Childrens,salary,no,gentle,Technical,salary,hard worker,yes,yes,Systems Security Administrator
77,93,61,65,74,81,89,71,85,12,4,6,9,5,no,no,yes,hadoop,cloud computing,no,no,poor,poor,Computer Architecture,developer,higherstudies,Web Services,no,yes,Comics,salary,yes,gentle,Technical,salary,hard worker,no,yes,Database Developer
88,94,73,87,64,89,79,93,65,7,5,4,9,2,yes,no,yes,machine learning,database security,yes,no,excellent,poor,programming,cloud computing,job,Cloud Services,yes,no,Autobiographies,Work,no,stubborn,Technical,work,smart worker,no,no,Software Systems Engineer
72,84,78,92,93,80,85,74,71,6,1,6,2,8,no,yes,no,shell programming,game development,yes,yes,excellent,medium,programming,testing,job,Finance,yes,yes,Science,Work,yes,stubborn,Technical,salary,smart worker,yes,no,Mobile Applications Developer
83,79,88,75,62,70,68,91,63,8,5,0,1,4,no,no,yes,shell programming,game development,no,no,excellent,poor,IOT,cloud computing,higherstudies,Testing and Maintainance Services,no,yes,Action and Adventure,Work,yes,gentle,Management,salary,smart worker,yes,no,Technical Engineer
89,89,74,66,69,83,71,89,67,11,2,2,7,2,no,no,no,information security,game development,yes,yes,medium,poor,hacking,Business process analyst,higherstudies,BPA,yes,no,Health,salary,no,stubborn,Technical,salary,hard worker,yes,no,Systems Analyst
72,63,74,68,69,67,94,76,79,4,7,3,2,3,no,yes,no,python,game development,yes,no,excellent,excellent,hacking,cloud computing,higherstudies,Testing and Maintainance Services,no,no,Guide,salary,yes,stubborn,Technical,salary,hard worker,no,yes,Software Systems Engineer
69,60,77,94,70,92,67,67,80,6,4,4,2,1,yes,no,no,app development,web technologies,no,no,excellent,poor,networks,testing,job,Sales and Marketing,yes,yes,Science,Work,yes,gentle,Management,salary,smart worker,yes,no,Software Developer
60,91,61,88,85,75,66,94,93,6,8,1,7,5,yes,no,yes,python,system designing,no,yes,excellent,poor,programming,developer,job,Testing and Maintainance Services,yes,yes,Science,Work,no,gentle,Management,salary,hard worker,no,no,Technical Engineer
68,67,89,94,83,70,64,88,89,10,7,5,8,1,yes,yes,yes,full stack,system designing,no,no,medium,excellent,Software Engineering,system developer,job,Web Services,yes,no,Biographies,salary,no,stubborn,Technical,work,hard worker,no,no,Database Developer
78,88,77,67,86,90,67,75,70,8,8,1,8,5,no,yes,no,python,system designing,yes,no,excellent,medium,networks,testing,higherstudies,Testing and Maintainance Services,yes,yes,Fantasy,salary,yes,gentle,Management,work,hard worker,no,yes,Portal Administrator
78,62,71,84,83,82,69,86,69,11,4,2,3,9,yes,yes,no,full stack,testing,no,yes,medium,excellent,hacking,Business process analyst,job,SAaS services,no,no,Childrens,Work,no,stubborn,Technical,salary,hard worker,yes,no,Project Manager
78,78,67,71,78,81,71,84,93,9,7,1,6,5,yes,no,no,distro making,hacking,no,no,excellent,medium,parallel computing,developer,job,Cloud Services,yes,yes,Religion-Spirituality,salary,no,stubborn,Technical,work,hard worker,yes,yes,Network Engineer
65,76,70,91,70,60,67,91,76,7,2,0,5,6,yes,yes,no,distro making,database security,yes,no,excellent,excellent,cloud computing,system developer,higherstudies,Product based,no,yes,Guide,salary,no,stubborn,Management,salary,smart worker,no,yes,Business Intelligence Analyst
91,84,61,86,79,86,87,66,62,5,6,5,5,7,yes,yes,no,machine learning,hacking,yes,yes,excellent,excellent,hacking,testing,higherstudies,Service Based,no,no,Romance,Work,yes,stubborn,Management,salary,smart worker,no,yes,Business Systems Analyst
78,83,83,63,80,69,63,64,70,7,7,3,5,6,yes,yes,yes,r programming,hacking,no,no,poor,poor,cloud computing,security,job,Web Services,no,no,Self help,Work,no,gentle,Technical,work,hard worker,no,no,Systems Analyst
70,78,71,69,68,86,93,81,87,7,2,6,1,6,yes,no,yes,shell programming,web technologies,no,yes,poor,excellent,programming,cloud computing,higherstudies,Product based,yes,yes,Series,Work,yes,gentle,Management,salary,smart worker,no,no,E-Commerce Analyst
78,76,88,88,64,84,61,61,77,8,4,1,8,5,no,yes,yes,distro making,system designing,yes,yes,excellent,poor,parallel computing,cloud computing,higherstudies,Service Based,yes,no,Mystery,Work,no,stubborn,Management,work,smart worker,yes,no,Design & UX
94,93,88,66,91,77,63,75,79,5,1,6,8,7,yes,yes,no,python,cloud computing,yes,yes,excellent,excellent,parallel computing,security,job,SAaS services,no,no,Guide,salary,no,stubborn,Technical,salary,hard worker,yes,yes,Technical Services/Help Desk/Tech Support
88,86,62,77,93,65,75,62,92,6,1,5,3,8,no,yes,yes,machine learning,game development,no,no,poor,medium,programming,system developer,higherstudies,Web Services,yes,yes,Science fiction,Work,no,gentle,Technical,salary,hard worker,no,no,Data Architect
80,87,93,73,64,71,84,83,69,8,3,3,5,2,no,no,no,shell programming,web technologies,yes,yes,poor,poor,Software Engineering,system developer,job,Testing and Maintainance Services,no,no,History,salary,no,gentle,Management,work,hard worker,yes,yes,Project Manager
61,78,87,91,62,93,76,90,85,10,9,5,8,6,no,yes,yes,hadoop,cloud computing,no,yes,medium,excellent,programming,developer,job,BPA,no,yes,Mystery,salary,no,gentle,Technical,work,hard worker,yes,yes,Mobile Applications Developer
69,60,61,67,76,93,91,62,69,7,1,5,9,9,yes,no,yes,python,cloud computing,yes,yes,poor,excellent,data engineering,system developer,job,Testing and Maintainance Services,no,no,History,Work,yes,gentle,Management,salary,hard worker,no,no,CRM Business Analyst
64,87,64,77,60,75,74,92,61,8,9,0,6,1,yes,no,no,machine learning,hacking,yes,no,medium,poor,parallel computing,developer,job,BPA,no,yes,Dictionaries,salary,yes,stubborn,Technical,work,smart worker,no,no,Applications Developer
94,76,61,90,71,69,67,67,80,11,1,1,1,4,yes,yes,yes,full stack,game development,yes,yes,excellent,excellent,programming,Business process analyst,higherstudies,SAaS services,yes,no,Prayer books,salary,no,stubborn,Technical,work,smart worker,yes,yes,Applications Developer
75,79,74,93,74,76,75,63,60,10,4,0,7,9,yes,no,yes,shell programming,system designing,no,yes,poor,poor,parallel computing,system developer,higherstudies,Sales and Marketing,yes,yes,Guide,Work,yes,stubborn,Technical,work,hard worker,no,no,Business Intelligence Analyst
94,82,91,79,66,65,68,76,90,8,4,5,3,9,yes,yes,no,r programming,hacking,yes,no,poor,poor,Management,system developer,higherstudies,Cloud Services,no,yes,Math,salary,no,gentle,Management,salary,hard worker,no,yes,Technical Support
67,89,86,88,81,71,93,61,85,12,6,0,8,9,yes,no,yes,r programming,web technologies,no,yes,medium,excellent,parallel computing,developer,higherstudies,Product based,yes,yes,Self help,salary,yes,gentle,Management,salary,smart worker,no,no,Information Technology Auditor
65,77,76,74,86,90,64,93,78,4,8,4,3,8,no,yes,yes,information security,hacking,yes,yes,excellent,medium,programming,testing,job,Sales and Marketing,no,no,History,Work,yes,stubborn,Technical,work,hard worker,no,no,Software Quality Assurance (QA) / Testing
94,80,64,63,89,65,86,64,67,12,8,5,5,6,yes,yes,yes,hadoop,game development,no,yes,excellent,excellent,data engineering,security,higherstudies,Web Services,no,yes,Prayer books,salary,yes,stubborn,Technical,work,hard worker,no,no,Database Developer
69,85,84,90,93,86,65,65,63,9,6,0,6,5,no,no,yes,distro making,game development,no,no,excellent,excellent,data engineering,system developer,job,product development,no,no,Health,Work,yes,gentle,Technical,work,hard worker,yes,yes,Mobile Applications Developer
76,71,71,75,90,74,76,94,74,7,8,5,4,1,no,yes,yes,r programming,database security,yes,yes,excellent,excellent,Computer Architecture,cloud computing,higherstudies,Testing and Maintainance Services,no,yes,Romance,salary,no,gentle,Technical,salary,hard worker,no,no,Software Systems Engineer
66,63,75,70,91,94,86,85,62,10,9,5,5,3,no,yes,no,machine learning,hacking,no,no,excellent,poor,data engineering,developer,job,SAaS services,yes,no,Guide,salary,no,stubborn,Technical,salary,smart worker,no,yes,Software Developer
62,67,65,61,64,92,72,77,79,7,8,3,9,5,yes,no,no,full stack,testing,no,no,medium,poor,data engineering,Business process analyst,job,Cloud Services,no,no,Action and Adventure,Work,no,gentle,Technical,work,hard worker,no,no,Web Developer
79,88,74,91,72,79,93,67,85,4,6,5,4,2,no,no,yes,machine learning,cloud computing,no,no,excellent,poor,networks,system developer,job,SAaS services,no,no,Art,salary,no,stubborn,Management,work,hard worker,yes,yes,Applications Developer
92,79,80,60,83,90,63,83,94,9,6,0,8,9,yes,no,yes,full stack,data science,no,no,poor,medium,IOT,developer,higherstudies,Web Services,yes,no,Journals,Work,no,gentle,Management,work,hard worker,no,no,Applications Developer
77,91,60,86,84,62,90,84,93,9,5,2,3,2,no,yes,yes,shell programming,web technologies,no,no,medium,medium,hacking,testing,higherstudies,Product based,no,yes,Self help,Work,no,gentle,Technical,salary,hard worker,no,no,Network Engineer
90,75,67,65,76,73,77,70,63,9,9,5,5,8,yes,no,no,distro making,game development,no,yes,poor,excellent,IOT,cloud computing,job,BPA,no,no,Biographies,Work,no,gentle,Management,work,smart worker,no,yes,Database Manager
77,75,72,64,71,93,76,84,69,11,5,0,8,2,yes,yes,yes,machine learning,database security,no,yes,poor,poor,cloud computing,system developer,higherstudies,Sales and Marketing,no,no,Poetry,Work,yes,stubborn,Technical,work,hard worker,yes,no,Database Manager
72,88,68,73,65,69,80,89,82,10,5,3,4,4,yes,yes,no,full stack,game development,yes,no,poor,poor,parallel computing,Business process analyst,job,SAaS services,no,yes,Horror,salary,no,stubborn,Technical,work,smart worker,yes,yes,Systems Analyst
94,94,94,68,77,90,73,78,77,8,2,5,8,2,yes,no,yes,hadoop,testing,no,no,poor,medium,IOT,developer,higherstudies,product development,yes,no,Drama,salary,no,stubborn,Technical,salary,smart worker,yes,yes,Quality Assurance Associate
89,92,93,90,60,82,81,64,82,4,8,4,6,5,no,no,no,shell programming,web technologies,no,no,medium,poor,IOT,testing,higherstudies,Finance,yes,no,Action and Adventure,Work,yes,stubborn,Technical,salary,smart worker,yes,yes,Data Architect
68,83,83,62,61,72,70,79,80,12,8,6,1,2,yes,yes,yes,python,data science,yes,yes,medium,poor,data engineering,developer,higherstudies,Product based,yes,yes,Science fiction,Work,no,stubborn,Technical,work,hard worker,no,yes,Network Security Administrator
89,82,60,83,89,65,60,68,71,11,5,6,3,3,yes,yes,yes,shell programming,data science,no,no,excellent,poor,Computer Architecture,cloud computing,job,Sales and Marketing,yes,no,Action and Adventure,salary,no,stubborn,Technical,salary,smart worker,no,no,Information Technology Auditor
90,63,73,90,91,78,60,87,77,7,6,5,7,7,no,yes,yes,distro making,game development,no,no,excellent,medium,networks,developer,higherstudies,Sales and Marketing,yes,yes,Self help,salary,no,gentle,Technical,salary,smart worker,yes,yes,Business Intelligence Analyst
91,87,64,84,63,71,66,66,83,10,4,0,9,5,yes,no,no,r programming,web technologies,no,no,poor,poor,networks,testing,higherstudies,Product based,no,yes,Action and Adventure,Work,yes,stubborn,Technical,work,hard worker,yes,no,Data Architect
